City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Ancud,CL,-41.8697,-73.8203,63.43,91,0,7.11,clear sky
239,Havre-Saint-Pierre,CA,50.2334,-63.5986,14.59,92,100,9.22,overcast clouds
240,Tuatapere,NZ,-46.1333,167.6833,59.83,55,0,5.46,clear sky
241,Hamilton,US,39.1834,-84.5333,43.43,65,0,0.0,clear sky
242,Bombay,IN,19.0144,72.8479,67.98,73,2,5.75,haze
243,Puerto Carreno,CO,6.189,-67.4859,85.91,37,31,6.67,scattered clouds
244,Port Augusta,AU,-32.5,137.7667,68.14,45,0,14.81,clear sky
245,Sinazongwe,ZM,-17.2614,27.4618,73.24,85,99,6.26,overcast clouds
246,Marsh Harbour,BS,26.5412,-77.0636,70.83,66,14,15.39,few clouds
247,Kaka,TM,37.3482,59.6143,45.19,49,6,3.42,clear sky
248,Arona,ES,28.0996,-16.681,59.79,64,0,1.01,clear sky
249,Beringovskiy,RU,63.05,179.3167,-11.94,93,36,10.67,scattered clouds
250,Zhigansk,RU,66.7697,123.3711,-23.33,98,100,8.99,overcast clouds
251,Matamoros,MX,25.5333,-103.25,64.51,34,40,0.0,scattered clouds
252,Huambo,AO,-12.7761,15.7392,60.37,96,100,3.51,overcast clouds
253,Guaymas,MX,27.9333,-110.9,76.46,68,40,9.22,scattered clouds
254,Soyo,AO,-6.1349,12.3689,76.59,84,100,4.23,overcast clouds
255,Karratha,AU,-20.7377,116.8463,106.65,16,50,20.98,scattered clouds
256,Puerto Madryn,AR,-42.7692,-65.0385,74.53,48,0,9.33,clear sky
257,Grand Gaube,MU,-20.0064,57.6608,79.2,86,100,1.99,overcast clouds
258,Mecca,SA,21.4267,39.8261,73.83,78,38,3.49,scattered clouds
259,Shenjiamen,CN,29.9576,122.298,43.77,68,100,22.79,overcast clouds
260,San Patricio,US,28.017,-97.5169,63.01,76,96,4.92,overcast clouds
261,Kjollefjord,NO,70.9457,27.3465,36.41,78,100,28.77,overcast clouds
262,Kaitangata,NZ,-46.2817,169.8464,59.94,56,41,8.12,scattered clouds
263,Hofn,IS,64.2539,-15.2082,37.04,76,19,23.64,few clouds
264,Chumikan,RU,54.7183,135.315,0.12,88,100,7.52,overcast clouds
265,Tramandai,BR,-29.9847,-50.1336,73.22,82,1,12.75,clear sky
266,Cerrito,CO,6.8432,-72.694,49.39,95,87,2.39,overcast clouds
267,Komsomolskiy,UZ,40.4272,71.7189,33.22,69,100,2.3,mist
268,Lae,PG,-6.7221,146.9847,90.39,54,41,2.51,scattered clouds
269,Puerto Escondido,MX,15.85,-97.0667,81.43,74,20,0.0,few clouds
270,Catamarca,AR,-28.4696,-65.7852,85.64,29,5,11.1,clear sky
271,Butaritari,KI,3.0707,172.7902,82.6,79,17,15.75,few clouds
272,Yanam,IN,16.7333,82.2167,70.12,86,100,4.25,overcast clouds
273,Skeldon,GY,5.8833,-57.1333,74.59,88,99,4.76,overcast clouds
274,Sobolevo,RU,54.4299,31.8996,-3.91,100,100,4.92,overcast clouds
275,Nelson Bay,AU,-32.7167,152.15,82.76,72,18,1.99,few clouds
276,Luderitz,NA,-26.6481,15.1594,64.71,91,3,9.55,clear sky
277,Castro,BR,-24.7911,-50.0119,62.22,95,86,4.18,overcast clouds
